,Fly_ROI,Fly,ROI,New_ROI
371,211029_5 4,211029_5,4,77.0
358,211029_5 28,211029_5,28,78.0
378,211029_5 46,211029_5,46,79.0
200,211026_3 26,211026_3,26,68.0
312,211027_4 6,211027_4,6,74.0
148,210910_2 57,210910_2,57,81.0
121,210910_2 32,210910_2,32,82.0
185,211026_3 12,211026_3,12,69.0
47,210830_1 51,210830_1,51,85.0
324,211027_4 70,211027_4,70,75.0
149,210910_2 58,210910_2,58,83.0
264,211027_4 16,211027_4,16,76.0
112,210910_2 24,210910_2,24,84.0
205,211026_3 30,211026_3,30,70.0
23,210830_1 3,210830_1,3,86.0
306,211027_4 54,211027_4,54,77.0
91,210830_1 91,210830_1,91,87.0
169,210910_2 76,210910_2,76,85.0
202,211026_3 28,211026_3,28,71.0
109,210910_2 21,210910_2,21,86.0
17,210830_1 24,210830_1,24,88.0
216,211026_3 40,211026_3,40,72.0
43,210830_1 48,210830_1,48,89.0
44,210830_1 49,210830_1,49,90.0
49,210830_1 53,210830_1,53,91.0
48,210830_1 52,210830_1,52,92.0
294,211027_4 43,211027_4,43,78.0
258,211027_4 10,211027_4,10,79.0
304,211027_4 52,211027_4,52,80.0
330,211027_4 76,211027_4,76,81.0
79,210830_1 80,210830_1,80,93.0
87,210830_1 88,210830_1,88,94.0
88,210830_1 89,210830_1,89,95.0
248,211026_3 7,211026_3,7,73.0
243,211026_3 65,211026_3,65,74.0
246,211026_3 68,211026_3,68,75.0
